nh	female	married	sepdiv	single	ownhh	white	black	hispan	mobility	age	yrsnh	ses	violence	control
12	1	1	0	0	1	1	0	0	5	29	1.25	2.0027	100.79	479.92
12	1	0	1	0	1	1	0	0	0	43	19.8333	1.7816	220.79	359.92
12	0	1	0	0	1	0	0	1	1	48	3	2.327	140.79	419.92
12	1	0	0	1	0	0	0	1	4	23	0.75	-0.007	120.79	439.92
12	1	0	0	0	0	1	0	0	1	36	2	1.1416	104.84	479.92
12	1	1	0	0	0	0	0	0	1	31	2.4167	1.1134	100.79	339.92
12	1	1	0	0	0	1	0	0	1	47	0.1667	1.0777	100.79	179.92
12	1	0	0	0	0	1	0	0	1	26	1.5	0.0772	183.2	222.98
12	1	0	1	0	0	1	0	0	2	31	1.1667	-1.0022	220.79	399.92
13	1	1	0	0	1	1	0	0	1	39	2.3333	3.426	140.79	359.92
13	1	1	0	0	1	1	0	0	1	34	5.5	2.9762	160.79	479.92
13	0	1	0	0	0	1	0	0	1	73	0.5	0.8051	100.79	439.92
13	1	0	0	1	0	0	0	0	2	20	2	0.3063	129.83	439.92
13	1	0	0	1	0	0	0	0	4	32	1.25	2.6026	130.19	419.92
13	1	0	1	0	1	0	0	1	2	62	1.1667	-2.6501	120.79	499.92
13	1	1	0	0	0	1	0	0	2	29	0.9167	0.8221	104.14	399.92
13	1	1	0	0	1	1	0	0	0	43	6.3333	2.165	140.79	459.92
13	0	0	0	1	1	1	0	0	1	22	3.9167	0.3206	244.46	219.92
13	1	0	0	0	1	1	0	0	0	72	30.5	1.0077	140.79	399.92
13	1	0	0	0	0	1	0	0	1	76	1.6667	-0.2478	98.74	279.92
13	1	1	0	0	0	0	0	1	0	40	8	0.2802	100.79	239.92
13	0	1	0	0	1	0	0	0	0	42	5	-0.2745	NA	359.92
13	0	1	0	0	1	0	0	0	0	44	12.25	3.479	100.79	479.92
13	1	1	0	0	1	1	0	0	0	47	10	2.5611	140.79	299.92
13	1	1	0	0	1	1	0	0	0	57	14.25	3.2218	160.79	419.92
13	1	0	0	1	0	1	0	0	3	31	0.5	-0.0231	120.79	339.92
14	1	0	1	0	1	0	0	0	0	87	68.5	0.4503	NA	359.92
14	0	1	0	0	0	1	0	0	0	55	20	-0.5005	100.79	379.92
14	1	1	0	0	1	1	0	0	1	29	2.5833	0.098	340.79	339.92
14	1	1	0	0	0	1	0	0	2	60	2	0.3721	100.79	419.92
14	1	1	0	0	0	0	0	0	0	35	3	-0.7997	100.79	339.92
14	0	1	0	0	1	0	0	0	1	53	0.5	3.4998	100.79	379.92
14	1	0	1	0	0	0	1	0	1	36	2	1.411	280.79	499.92
14	1	0	1	0	0	1	0	0	5	33	0.25	2.2509	100.79	339.92
14	1	0	0	0	0	0	0	0	0	72	17.25	0.3123	120.79	419.92
14	0	1	0	0	1	1	0	0	0	79	31.0833	-1.0255	141.03	419.92
14	1	0	0	1	0	0	0	0	2	28	0.8333	-0.0669	104.83	459.92
14	1	1	0	0	0	1	0	0	1	29	1	0.896	154.15	359.92
14	1	0	0	0	0	1	0	0	1	38	3.1667	0.5465	120.79	259.92
14	1	0	1	0	0	1	0	0	3	33	1.3333	1.1504	180.19	499.92
14	0	1	0	0	1	1	0	0	0	69	13	2.2218	284.61	339.92
